case	wc_rc	cite_rc	agree	trace	wc_reason	cite_reason
B01_bytes_min2	0	0	agree	ok	warrant accepted: 1 verdicts under law f2cc2274cb3c752b in 1 complete sittings	
B02_bytes_max16384	0	0	agree	ok	warrant accepted: 1 verdicts under law f2cc2274cb3c752b in 1 complete sittings	
B03_bytes_16385	1	1	agree	ok	warrant refused: line 3 sitting malformed	netta: the docket sitting is not canonical
B04_bytes_1	1	1	agree	ok	warrant refused: line 3 sitting malformed	netta: the docket sitting is not canonical
C01_id_lead0	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C02_id_plus	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C03_id_neg0	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C04_id_first1	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C05_id_swapped	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C06_id_dup0	1	1	agree	ok	warrant refused: line 5 court record malformed	netta: a docket court record is not canonical
C07_id_intmax1	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C08_id_double_space	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C09_id_space_colon	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C10_digest_upper	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C11_digest_15	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C12_digest_17	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C13_digest_nonhex	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C14_ctx_mismatch	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
C15_ctx_upper	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: a docket court record is not canonical
