case	wc_rc	cite_rc	agree	trace	wc_reason	cite_reason
B01_bytes_min2	0	0	agree	ok	warrant accepted: 1 verdicts under law f2cc2274cb3c752b in 1 complete sittings	
B02_bytes_max16384	0	0	agree	ok	warrant accepted: 1 verdicts under law f2cc2274cb3c752b in 1 complete sittings	
B03_bytes_16385	1	0	DISAGREE	ok	warrant refused: line 3 sitting malformed	
B04_bytes_1	1	0	DISAGREE	ok	warrant refused: line 3 sitting malformed	
C01_id_lead0	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C02_id_plus	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C03_id_neg0	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C04_id_first1	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C05_id_swapped	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C06_id_dup0	1	1	agree	ok	warrant refused: line 5 court record malformed	netta: the docket leaves are out of order
C07_id_intmax1	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C08_id_double_space	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C09_id_space_colon	1	1	agree	ok	warrant refused: line 4 court record malformed	netta: the docket leaves are out of order
C10_digest_upper	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C11_digest_15	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C12_digest_17	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C13_digest_nonhex	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C14_ctx_mismatch	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C15_ctx_upper	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C16_bytes_mismatch	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
C17_bytes_lead0	1	0	DISAGREE	ok	warrant refused: line 4 court record malformed	
